ID,Start time,Completion time,Email,Name,Last modified time,What is the first letter of your first name?,What school are you attending right now?,How is it?,Grade level?,Play any sports?,What college do you want to attend? For example: UF. Write none if not planning to attend a college.,Your favorite teacher?,What is your favorite food?,What is your favorite ice cream flavor?,And your favorite musical artist?,What about visual artists?,Do you eat school lunch or do you bring your own lunch?,Rank the subjects by your personal opinion and enjoyment of them.,GPA,Your main hobby?,How many friends do you have?,A teacher leaves the answer key on their desk and walks out. What do you do?,Your best friend is breaking a minor school rule (like wearing a hat). An admin asks you if they were. What do you do?,"Everyone in the world has to take a private vote by pressing a red or blue button.
If more than 50% of people press the BLUE button, everyone survives.If less than 50% of people press the BLUE but...",When does a ring become a tube?,Oh no! Your printer has malfunctioned on the due date of your project! What do you do?,"On a table, there is a live beetle, a live lizard, a live goldfish, a live rodent, and a live earwig. A strange man is forcing you to stuff one in your pocket in the morning and return the creatur..."
2,5/7/26 11:03:50,5/7/26 11:05:56,anonymous,,,M,SWHS,Good,10,No;,UF,Niehaus,Red curry,Cookie dough,Tame Impala,Pablo Picasso,School lunch,Math;Science;English;History;Foreign Language;Music;Art;,4-4.5,Programming,2,Warn the teacher about the answer key,Lie,Blue,When the height is the width or more,Ask a friend,All of them
3,5/7/26 11:35:08,5/7/26 11:38:23,anonymous,,,A,SWHS,Good,11,No;,None,Mr. Huskins,Porterhouse steak,Mint moose tracks,None,None,Own lunch,History;Math;Foreign Language;Science;English;Art;Music;,2.5-3,Website design,7,Look at it,Lie,Blue,When the height is double the width or more,Ask a friend,Lizard
4,5/7/26 11:49:00,5/7/26 11:56:47,anonymous,,,R,SWHS,Fair,11,Baseball;,I m not sure ,Don t have one,Steak,Cookies n cream,Don t have one,Idk,Own lunch,Science;English;History;Math;Foreign Language;Music;Art;,Prefer not to answer,Baseball,15,Don't look at it,Lie,Blue,When the height is half the width or more,Ask a friend,Goldfish
5,5/7/26 11:49:23,5/7/26 12:21:13,anonymous,,,G,SWHS,Fair,10,No;,Fsu ,Brown,Pototoe,Superman,Idk,Idk,School lunch,Science;History;Art;Math;English;Music;Foreign Language;,3-3.5,Gaming,5,Look at it,Lie,Red,When the height is double the width or more,Ask the teacher for an extension on the project,Rodent
6,5/7/26 13:45:10,5/7/26 13:48:06,anonymous,,,J,SWHS,Good,10,Basketball;,Houston,Coach martin,Japanese food,Cookies and cream,Drake,Idk,Own lunch,Science;History;English;Math;Art;Foreign Language;Music;,3.5-4,Basketball,10,Snatch it,Lie,Red,When the height is double the width or more,Ask the teacher for an extension on the project,All of them
7,5/7/26 14:46:48,5/7/26 14:53:43,anonymous,,,H,SWHS,Good,09,No;,None,Mr Mitchel ,Pizza,Vanilla,GoodKidBand,Gabby,Own lunch,Music;History;Art;Science;Foreign Language;English;Math;,2.5-3,Listening to music ,50,Look at it,Lie,Blue,When the height is the width or more,Ask the teacher for an extension on the project,Goldfish
9,5/7/26 14:53:48,5/7/26 14:56:12,anonymous,,,B,SWHS,Good,09,No;,Idk,Blud,The one you like,Vanilla ,Bbn$,67,School lunch,Foreign Language;Math;Music;English;Science;Art;History;,2.5-3,Games,5,Look at it,Falsely accuse your friend of something worse,Red,When the height is half the width or more,Go to a copy shop,All of them
10,5/7/26 14:54:38,5/7/26 14:58:08,anonymous,,,R,SWHS,Fair,09,No;,Fsu,Mrs behr,Raw milk,Chocolate ,Rebulation,Picasso ,School lunch,Science;History;English;Math;Music;Foreign Language;Art;,3-3.5,Fishing,0,Don't look at it,Falsely accuse your friend of something worse,Blue,When the height is double the width or more,Ask the teacher for an extension on the project,Goldfish
11,5/7/26 15:01:53,5/7/26 15:07:45,anonymous,,,T ,SWHS,Very good,09,Soccer;,University of FL,Ms.Bludworth,Lasagna ,Chocolate ,Bad bunny ,I don t have one ,School lunch,Math;Foreign Language;English;Art;Music;Science;History;,3-3.5,Play video games,10,Don't look at it,Tell the truth,Blue,When the height is half the width or more,Ask a friend,All of them
12,5/7/26 14:55:47,5/7/26 15:09:43,anonymous,,,F,MIC,Garbage,09,No;,IDK Yet,Ms. Meadows,Gumbo,Pistachio,Built To Spill,West Baton Rouge Art Musuem,Own lunch,Science;History;Music;Math;Foreign Language;English;Art;,4-4.5,Music,53,Don't look at it,Lie,Red,When the height is half the width or more,Ask the teacher for an extension on the project,Rodent
13,5/7/26 15:13:12,5/7/26 15:18:26,anonymous,,,M,SWHS,Good,09,No;,None,Mrs. Behr ,Burger,Vanilla,None,None,School lunch,Math;Foreign Language;History;English;Science;Art;Music;,3-3.5,Games,9,Warn the teacher about the answer key,Tell the truth,Blue,When the height is half the width or more,Go to a copy shop,Embrace uncertainty and flee
15,5/7/26 15:22:42,5/7/26 15:29:17,anonymous,,,K,MIC,Very good,09,No;,None,Ms.Connel,Burger,Vanilla ,Idk,Idk,School lunch,Science;Music;Foreign Language;History;English;Math;Art;,3-3.5,Video games,12,Look at it,Lie,Red,When the height is the width or more,Ask the teacher for an extension on the project,Lizard
16,5/7/26 15:19:16,5/7/26 15:30:07,anonymous,,,J,SWHS,Very good,11,No;,I don t know ,Kaiser,Pancakes ,Chocolate ,VoILa,Katy barry,Own lunch,Math;English;History;Science;Music;Foreign Language;Art;,Prefer not to answer,Going to the beach ,20,Don't look at it,Tell the truth,Blue,When the height is half the width or more,Ask a friend,Goldfish
17,5/7/26 15:21:38,5/7/26 15:34:45,anonymous,,,J,MIC,Very good,09,No;,FSU,Mr Libby ,Chicken Alfredo ,Cookie dough,STIM,Bob ross,School lunch,History;English;Music;Science;Math;Art;Foreign Language;,3.5-4,Archery,42,Don't look at it,Tell the truth,Red,When the height is the width or more,Ask a friend,Lizard
18,5/8/26 7:41:07,5/8/26 7:44:23,anonymous,,,M,SWHS,Fair,11,Football;,None,Ms ward ,Alfredo ,Cookie dough ,Zach Bryan ,Mmg,Own lunch,History;English;Math;Science;Art;Music;Foreign Language;,3-3.5,Golf,10,Snatch it,Tell the truth,Blue,When the height is double the width or more,Ask the teacher for an extension on the project,Goldfish
19,5/8/26 7:45:48,5/8/26 7:53:00,anonymous,,,A,SWHS,Fair,11,No;,Mississippi State University ,Chef Wright,sushi or steak,cookies and cream,Sleep token,dont have one,Own lunch,Art;Music;History;English;Science;Math;Foreign Language;,3-3.5,drawing,16,Don't look at it,Tell the truth,Red,When the height is double the width or more,Ask a friend,Rodent
20,5/8/26 7:43:00,5/8/26 7:54:26,anonymous,,,H,SWHS,Good,11,No;,None,Mrs. O Toole,Pizza,Vanilla ,Three days grace,None,Own lunch,History;Foreign Language;Math;Music;Science;English;Art;,2-2.5,Playing games,10,Don't look at it,Tell the truth,Red,When the height is double the width or more,Ask the teacher for an extension on the project,Lizard
21,5/8/26 8:05:30,5/8/26 8:08:06,anonymous,,,I,SWHS,Very good,10,Football;,Idk,Coach Rob,Fries,Chocolate ,Idk,Idk,School lunch,Science;Math;History;Foreign Language;English;Music;Art;,4-4.5,Gaming,10,Don't look at it,Lie,Blue,When the height is the width or more,Go to a copy shop,Goldfish
22,5/8/26 8:14:47,5/8/26 8:17:03,anonymous,,,G,SWHS,Very good,10,No;,I want to be Unemployed ,MS P,Steak ,Strawberry ,None ,None,School lunch,Math;Science;Art;English;Foreign Language;Music;History;,3.5-4,Work ,3,Look at it,Lie,Red,When the height is the width or more,Ask the teacher for an extension on the project,Embrace uncertainty and flee
