datetime,total,datetimeiso,
5/7/2026 11:05,1,2026-05-07 11:05:56,"""=TEXT(DATE(YEAR(A2),MONTH(A2),DAY(A2)) + TIME(HOUR(A2),MINUTE(A2),SECOND(A2)),""yyyy-mm-dd hh:mm:ss"")"""
5/7/2026 11:38,2,2026-05-07 11:38:23,
5/7/2026 11:56,3,2026-05-07 11:56:47,
5/7/2026 12:21,4,2026-05-07 12:21:13,
5/7/2026 13:48,5,2026-05-07 13:48:06,
5/7/2026 14:53,6,2026-05-07 14:53:43,
5/7/2026 14:56,7,2026-05-07 14:56:12,
5/7/2026 14:58,8,2026-05-07 14:58:08,
5/7/2026 15:07,9,2026-05-07 15:07:45,
5/7/2026 15:09,10,2026-05-07 15:09:43,
5/7/2026 15:18,11,2026-05-07 15:18:26,
5/7/2026 15:29,12,2026-05-07 15:29:17,
5/7/2026 15:30,13,2026-05-07 15:30:07,
5/7/2026 15:34,14,2026-05-07 15:34:45,
5/8/2026 7:44,15,2026-05-08 07:44:23,
5/8/2026 7:53,16,2026-05-08 07:53:00,
5/8/2026 7:54,17,2026-05-08 07:54:26,
5/8/2026 8:08,18,2026-05-08 08:08:06,
5/8/2026 8:17,19,2026-05-08 08:17:03,
5/8/2026 8:19,20,2026-05-08 08:19:02,
5/8/2026 8:21,21,2026-05-08 08:21:11,
5/8/2026 8:28,22,2026-05-08 08:28:47,
5/8/2026 9:25,23,2026-05-08 09:25:28,
5/8/2026 9:37,24,2026-05-08 09:37:53,
5/8/2026 10:31,25,2026-05-08 10:31:16,
5/8/2026 11:05,26,2026-05-08 11:05:49,
5/8/2026 13:00,27,2026-05-08 13:00:37,
5/8/2026 13:02,28,2026-05-08 13:02:52,
5/8/2026 13:04,29,2026-05-08 13:04:26,
5/8/2026 13:07,30,2026-05-08 13:07:16,
5/8/2026 15:05,31,2026-05-08 15:05:41,
5/8/2026 15:19,32,2026-05-08 15:19:50,
5/11/2026 7:35,33,2026-05-11 07:35:13,
5/11/2026 7:49,34,2026-05-11 07:49:32,
5/11/2026 7:53,35,2026-05-11 07:53:28,
5/11/2026 9:47,36,2026-05-11 09:47:02,
5/11/2026 11:28,37,2026-05-11 11:28:51,
5/11/2026 14:59,38,2026-05-11 14:59:30,
5/11/2026 15:08,39,2026-05-11 15:08:08,
5/12/2026 7:40,40,2026-05-12 07:40:08,
5/12/2026 7:50,41,2026-05-12 07:50:37,
5/12/2026 7:53,42,2026-05-12 07:53:25,
5/12/2026 7:58,43,2026-05-12 07:58:20,
5/12/2026 14:39,44,2026-05-12 14:39:32,
5/12/2026 14:40,45,2026-05-12 14:40:44,
5/12/2026 14:41,46,2026-05-12 14:41:11,
5/12/2026 14:43,47,2026-05-12 14:43:43,
5/12/2026 15:04,48,2026-05-12 15:04:29,
5/12/2026 15:05,49,2026-05-12 15:05:26,
5/12/2026 15:08,50,2026-05-12 15:08:01,
5/12/2026 18:16,51,2026-05-12 18:16:02,
5/13/2026 9:46,52,2026-05-13 09:46:09,
5/13/2026 9:47,53,2026-05-13 09:47:27,
5/13/2026 9:58,54,2026-05-13 09:58:57,
5/13/2026 14:54,55,2026-05-13 14:54:52,
5/13/2026 14:56,56,2026-05-13 14:56:04,
5/13/2026 14:58,57,2026-05-13 14:58:26,
5/13/2026 14:58,58,2026-05-13 14:58:57,
5/14/2026 7:50,59,2026-05-14 07:50:54,
5/14/2026 7:52,60,2026-05-14 07:52:26,
5/14/2026 7:52,61,2026-05-14 07:52:52,
5/14/2026 7:54,62,2026-05-14 07:54:22,
5/14/2026 8:13,63,2026-05-14 08:13:20,
5/14/2026 21:38,64,2026-05-14 21:38:01,
